name,slug,image_url,embed_url,categories
Crazy Office: Slap and Smash!,crazy-office-slap-and-smash,https://imgs.crazygames.com/crazy-office-slap-and-smash_16x9/20250425071328/crazy-office-slap-and-smash_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/crazy-office-slap-and-smash"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",action|casual
Piece of Cake: Merge and Bake,piece-of-cake-merge-and-bake,https://imgs.crazygames.com/piece-of-cake-merge-and-bake_16x9/20250528043012/piece-of-cake-merge-and-bake_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/piece-of-cake-merge-and-bake"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",casual|puzzle
Doodle Road,doodle-road,https://imgs.crazygames.com/doodle-road_16x9/20240912101139/doodle-road_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/doodle-road"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",casual
Zombie Horde: Build & Survive,zombie-horde-build-survive,https://imgs.crazygames.com/zombie-horde-build-survive_16x9/20250602073747/zombie-horde-build-survive_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/zombie-horde-build-survive"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",action
Crazy Dummy Swing Multiplayer,crazy-dummy-swing-multiplayer,https://imgs.crazygames.com/games/crazy-dummy-swing-multiplayer/cover_16x9-1747406523876.png?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/crazy-dummy-swing-multiplayer"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",casual
Boom Karts,boom-karts,https://imgs.crazygames.com/boom-karts_16x9/20250522041619/boom-karts_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/boom-karts"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",driving
Bad Cat - Granny's Return,bad-cat---granny-s-return,https://imgs.crazygames.com/bad-cat---granny-s-return_16x9/20250409102849/bad-cat---granny-s-return_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/bad-cat---granny-s-return"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",casual
Dalgona Candy Honeycomb Cookie,dalgona-candy-honeycomb-cookie-kam,https://imgs.crazygames.com/dalgona-candy-honeycomb-cookie-kam_16x9/20250521050634/dalgona-candy-honeycomb-cookie-kam_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/dalgona-candy-honeycomb-cookie-kam"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",casual
Snake VS Block,snake-vs-block,https://imgs.crazygames.com/snake-vs-block_16x9/20250528043518/snake-vs-block_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/snake-vs-block"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",casual
Color Music Hop Ball Games,color-music-hop-ball-games,https://imgs.crazygames.com/color-music-hop-ball-games_16x9/20250526055219/color-music-hop-ball-games_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/color-music-hop-ball-games"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",casual
Empire City,empire-city,https://imgs.crazygames.com/empire-city_16x9/20250218035041/empire-city_16x9-cover?metadata=none&quality=40&width=1200&height=630&fit=crop,"<iframe src=""https://www.crazygames.com/embed/empire-city"" style=""width: 100%; height: 100%;"" frameborder=""0"" allow=""gamepad *;""></iframe>",casual|clicker
